event_id,timestamp_hour,policy,current_decline_pct,pred_decline_6h_pct,pred_decline_12h_pct,pred_decline_24h_pct,pred_decline_48h_pct,pred_decline_72h_pct,continue_operation_cost_kes,clean_now_cost_kes,economic_advantage_kes,time_since_last_cip_h,is_lockout_binding,feed_tds_mg_l,feed_flow_m3_h,temperature_c,p1_bar,p2_bar,reason_code,reason_description
19,2187.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17512.83,9690.38,7822.45,120.0,True,1989.4,30.85,23.7,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
20,2307.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17510.73,9690.38,7820.35,120.0,True,1944.9,30.91,23.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
21,2427.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17515.72,9690.38,7825.34,120.0,True,2050.5,31.01,23.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
22,2547.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17522.65,9690.38,7832.27,120.0,True,2196.8,30.61,24.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
23,2667.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17513.86,9690.38,7823.48,120.0,True,2011.0,30.07,23.9,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
24,2787.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17512.02,9690.38,7821.64,120.0,True,1972.3,30.02,24.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
25,2907.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17521.59,9690.38,7831.21,120.0,True,2174.5,30.16,22.8,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
26,3027.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17511.89,9690.38,7821.51,120.0,True,1969.4,31.42,23.7,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
27,3147.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17510.6,9690.38,7820.22,120.0,True,1942.3,30.49,23.7,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
28,3267.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17519.45,9690.38,7829.07,120.0,True,2129.2,30.76,23.0,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
29,3387.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17522.23,9690.38,7831.85,120.0,True,2188.1,31.12,23.6,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
30,3507.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17510.26,9690.38,7819.88,120.0,True,1935.0,31.01,24.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
31,3627.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17510.47,9690.38,7820.09,120.0,True,1939.5,31.67,23.6,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
32,3747.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17512.02,9690.38,7821.64,120.0,True,1972.2,31.2,24.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
33,3867.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17509.59,9690.38,7819.21,120.0,True,1921.0,32.38,22.6,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
34,3987.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17512.16,9690.38,7821.78,120.0,True,1975.1,30.62,23.2,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
35,4107.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17522.88,9690.38,7832.5,120.0,True,2201.7,32.15,23.8,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
36,4227.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17519.82,9690.38,7829.44,120.0,True,2137.1,31.4,23.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
37,4347.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17511.13,9690.38,7820.75,120.0,True,1953.4,29.79,23.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
38,4467.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17513.45,9690.38,7823.07,120.0,True,2002.5,31.39,23.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
39,4587.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17521.4,9690.38,7831.02,120.0,True,2170.5,31.8,24.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
40,4707.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17512.12,9690.38,7821.74,120.0,True,1974.4,30.67,23.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
41,4827.0,CASE_E,15.09,15.89,16.69,18.49,21.99,25.59,17505.46,9690.38,7815.08,120.0,True,1833.7,31.7,23.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
42,4947.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17514.38,9690.38,7824.0,120.0,True,2022.2,29.99,23.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
43,5067.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17521.59,9690.38,7831.21,120.0,True,2174.5,32.35,23.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
44,5187.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17514.61,9690.38,7824.23,120.0,True,2026.9,31.23,24.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
45,5307.0,CASE_E,15.09,15.89,16.69,18.49,21.99,25.59,17507.61,9690.38,7817.23,120.0,True,1879.0,30.38,23.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
46,5427.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17517.63,9690.38,7827.25,120.0,True,2090.8,31.04,23.2,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
47,5547.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17518.86,9690.38,7828.48,120.0,True,2116.7,31.44,24.0,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
48,5667.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17514.02,9690.38,7823.64,120.0,True,2014.5,31.63,23.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
49,5787.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17515.64,9690.38,7825.26,120.0,True,2048.8,32.61,23.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
50,5907.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17518.86,9690.38,7828.48,120.0,True,2116.8,28.74,24.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
51,6027.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17509.06,9690.38,7818.68,120.0,True,1909.8,29.86,24.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
52,6147.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17519.05,9690.38,7828.67,120.0,True,2120.7,30.76,23.2,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
53,6267.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17523.08,9690.38,7832.7,120.0,True,2205.9,31.84,23.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
54,6387.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17514.25,9690.38,7823.87,120.0,True,2019.4,29.92,23.2,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
55,6507.0,CASE_E,15.09,15.89,16.69,18.49,21.99,25.59,17507.96,9690.38,7817.58,120.0,True,1886.5,31.45,23.4,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
56,6627.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17520.37,9690.38,7829.99,120.0,True,2148.7,32.23,23.1,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
57,6747.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17513.21,9690.38,7822.83,120.0,True,1997.5,31.48,22.9,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
58,6867.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17515.63,9690.38,7825.25,120.0,True,2048.4,30.42,23.7,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
59,6987.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17515.2,9690.38,7824.82,120.0,True,2039.3,32.73,23.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
60,7107.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17519.91,9690.38,7829.53,120.0,True,2138.9,30.94,23.0,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
61,7227.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17515.83,9690.38,7825.45,120.0,True,2052.8,31.02,24.0,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
62,7347.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17512.25,9690.38,7821.87,120.0,True,1977.2,30.03,23.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
63,7467.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17515.43,9690.38,7825.05,120.0,True,2044.2,30.77,24.6,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
64,7587.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17521.74,9690.38,7831.36,120.0,True,2177.7,31.71,23.6,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
65,7707.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17509.4,9690.38,7819.02,120.0,True,1916.9,31.02,23.3,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
66,7827.0,CASE_E,15.1,15.9,16.7,18.5,22.0,25.6,17511.51,9690.38,7821.13,120.0,True,1961.5,30.88,23.8,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
67,7947.0,CASE_E,15.11,15.91,16.71,18.51,22.01,25.61,17521.9,9690.38,7831.52,120.0,True,2181.0,31.71,23.5,16.06,16.41,MULTIPLE_FACTORS,"Compound trigger: FOULING_COST_EXCEEDS_CIP, FORECASTED_THRESHOLD."
